property,classifier,accuracy,precision,recall,f1
20,SGD,0.6217264791464597,0.6179511278195489,0.6377303588748787,0.6276849642004774
20,Bagging,0.8108632395732299,0.8442534908700322,0.7623666343355965,0.8012232415902141
20,Extra Trees,0.7293889427740058,0.7323182711198428,0.7230843840931135,0.7276720351390923
20,CatBoost,0.8541464597478177,0.8644871474918892,0.8399612027158099,0.8520477186077973
20,LightGBM,0.8427497575169738,0.8494437577255871,0.8331716779825412,0.8412290366017873
20,XGBoost,0.8462657613967022,0.8534653465346534,0.8360814742967992,0.8446839784419402
21,SVM,0.7273278370514064,0.723800429696825,0.7352085354025218,0.7294598821123541
21,Random Forest,0.8043161978661494,0.8397401191120736,0.7521823472356935,0.7935533384497314
21,Logistic Regression,0.6938651794374394,0.6922337100264486,0.6981086323957323,0.6951587589037789
21,Naive Bayes,0.6302133850630456,0.6270104068117314,0.6428225024248303,0.6348180076628352
21,K-NN,0.5680164888457808,0.5489785227867994,0.7623666343355965,0.6383108313876764
21,Gradient Boosting,0.8229873908826382,0.8512658227848101,0.7827352085354026,0.8155634158665993
21,AdaBoost,0.7883123181377304,0.8042476970317298,0.7621241513094084,0.7826195219123506
21,Decision Tree,0.7367846750727449,0.733110527572213,0.7446653734238603,0.7388427763743535
21,Perceptron,0.6521580989330746,0.646509455988793,0.6714354995150339,0.6587367669798977
21,SGD,0.6787099903006789,0.6893627954779034,0.6505819592628516,0.6694111776447106
21,Bagging,0.831474296799224,0.8608764519535375,0.7907371483996121,0.8243174924165824
21,Extra Trees,0.7346023278370514,0.747379186908719,0.7087778855480117,0.7275668948350964
21,CatBoost,0.8572987390882638,0.8699472759226714,0.8402036857419981,0.8548168249660787
21,LightGBM,0.8495392822502424,0.8613687641012785,0.8331716779825412,0.847035621841489
21,XGBoost,0.850387972841901,0.8639798488664987,0.8317167798254123,0.847541388682975
22,SVM,0.7932832201745877,0.7830564006552774,0.8113482056256062,0.796951292128141
22,Random Forest,0.8090446168768186,0.8033801475839086,0.8183802133850631,0.8108108108108109
22,Logistic Regression,0.7463627546071775,0.7324942791762014,0.776188166828322,0.7537085001177302
22,Naive Bayes,0.6356692531522793,0.6291253173321024,0.6610087293889427,0.6446730519096606
22,K-NN,0.6745877788554802,0.6462819991873222,0.7713385063045587,0.7032942737121379
22,Gradient Boosting,0.8115906886517944,0.8094894026974951,0.8149854510184287,0.8122281295311745
22,AdaBoost,0.7845538312318138,0.7788073176526491,0.7948593598448108,0.7867514700588023
22,Decision Tree,0.7415130940834141,0.7403474903474904,0.7439379243452958,0.7421383647798742
22,Perceptron,0.5167313288069835,0.9726027397260274,0.03443258971871969,0.06651053864168618
22,SGD,0.7086566440349176,0.7739573384272525,0.5894762366634335,0.6692360633172746
22,Bagging,0.819713870029098,0.8306997742663657,0.8031037827352085,0.8166687214893354
22,Extra Trees,0.790615906886518,0.7828652348359688,0.8043161978661494,0.7934457600765459
22,CatBoost,0.8596023278370514,0.8603012633624878,0.8586323957322988,0.8594660194174757
22,LightGBM,0.8439621726479146,0.8452178145534194,0.8421435499515034,0.8436778816956152
22,XGBoost,0.8513579049466538,0.8508474576271187,0.8520853540252182,0.8514659559001696
23,SVM,0.7731571290009699,0.7632624444963777,0.7919495635305529,0.7773414256813043
23,Random Forest,0.8128031037827352,0.8090560613320555,0.8188651794374394,0.8139310677271632
23,Logistic Regression,0.7304801163918526,0.7177548682703322,0.7596993210475267,0.7381316998468607
23,Naive Bayes,0.6388215324927256,0.6310968628348981,0.6682832201745877,0.6491579319279237
23,K-NN,0.6591901066925315,0.6253101736972705,0.7943743937924346,0.699775712912528
23,Gradient Boosting,0.8215324927255092,0.8242053789731051,0.8174102812803103,0.8207937667397127
23,AdaBoost,0.7948593598448108,0.7866572371522866,0.8091658583899127,0.797752808988764
23,Decision Tree,0.7405431619786615,0.7394978271366489,0.742725509214355,0.7411081538833777
23,Perceptron,0.5898399612027158,0.8996763754045307,0.20223084384093112,0.33023163729954463
23,SGD,0.7199321047526673,0.6835289356535815,0.8191076624636275,0.7452018530774321
